sample_id,total_mapped_reads
DRR014782,75612507
DRR014785,83163638
DRR121397,2121643
DRR121401,1311236
ERR10695318,123175020
ERR1414265,20065130
ERR1414271,52839024
ERR1869526,30986940
ERR1869527,65905139
ERR1877479,32277602
ERR1877482,30823007
ERR2094168,26448645
ERR2094174,39749460
ERR2094175,24155246
ERR2114805,8906686
ERR2135457,157296772
ERR2200468,9872987
ERR2241845,46458095
ERR2607414,60957416
ERR2607491,12615621
ERR2683635,18114238
ERR2683639,666307
ERR2750365,2044813
ERR2848508,16140413
ERR2889251,17086413
ERR3155587,242253
ERR3155596,127110
ERR3155597,109908
ERR3273281,12217169
ERR3890099,1224116
ERR4398707,56063342
ERR575692,22662595
ERR5866866,3363098
ERR5866883,2778560
ERR5954451,29503577
ERR738544,38335764
ERR738545,37874540
ERR738546,38897079
ERR9456921,41829
SRR1023996,1957459
SRR1024014,270115
SRR10527384,58826903
SRR10810037,85265497
SRR11267050,105699769
SRR11267079,77979703
SRR12456173,52495521
SRR12479795,5999570
SRR12480094,19291977
SRR12908323,29018884
SRR12908327,26485642
SRR15604576,66172197
SRR1702229,5091893
SRR17255031,10489102
SRR17257160,80004670
SRR1873849,37904843
SRR1916815,29814289
SRR19759452,35337732
SRR2107175,12212582
SRR2107179,13933888
SRR2753158,11362127
SRR3183878,5306114
SRR3211795,248006
SRR3719568,57397486
SRR3961740,18408233
SRR4069403,285545
SRR4305336,7906529
SRR490744,1676830
SRR5248299,38367432
SRR5438753,62072667
SRR5574507,20609434
SRR5808811,1121042
SRR5808830,616801
SRR5924454,42181502
SRR6323523,22271039
SRR6490004,35542379
SRR6490006,20145399
SRR6714105,33130863
SRR6765262,1518088
SRR7299214,6705137
SRR7610133,3058996
SRR9109404,25075735
SRR9182859,104629074
SRR975540,2349388
