sample_id,n_reads
DRR014782,83531900
DRR014785,91931356
DRR121397,5715162
DRR121401,4546672
ERR10695318,143348680
ERR1414265,63252136
ERR1414271,85578428
ERR1869526,81926466
ERR1869527,94888142
ERR1877479,33986434
ERR1877482,31647928
ERR2094168,71793906
ERR2094174,74071682
ERR2094175,75550844
ERR2114805,19681320
ERR2135457,181123408
ERR2200468,27736460
ERR2241845,70324088
ERR2607414,89860720
ERR2607491,19884072
ERR2683635,36400438
ERR2683639,1195720
ERR2750365,2302414
ERR2848508,48317752
ERR2889251,26948570
ERR3155587,1526352
ERR3155596,1585492
ERR3155597,1439744
ERR3273281,12898526
ERR3890099,29706908
ERR4398707,69276474
ERR575692,25913782
ERR5866866,35725214
ERR5866883,27728720
ERR5954451,77740394
ERR738544,57823334
ERR738545,57261432
ERR738546,58663858
ERR9456921,119230
SRR1023996,2593852
SRR1024014,558784
SRR10527384,64950652
SRR10810037,92199570
SRR11267050,116086786
SRR11267079,84009980
SRR12456173,63434100
SRR12479795,14202068
SRR12480094,38084030
SRR12908323,29308492
SRR12908327,27441936
SRR15604576,69896234
SRR1702229,11437376
SRR17255031,39010886
SRR17257160,86401374
SRR1873849,38517518
SRR1916815,118703892
SRR19759452,38767044
SRR2107175,23804204
SRR2107179,21642308
SRR2753158,18200276
SRR3183878,11436658
SRR3211795,265918
SRR3719568,77989648
SRR3961740,21928632
SRR4069403,3615040
SRR4305336,8533492
SRR490744,1924348
SRR5248299,41799480
SRR5438753,70265186
SRR5574507,23413664
SRR5808811,20321666
SRR5808830,9491160
SRR5924454,52973856
SRR6323523,25427782
SRR6490004,51183530
SRR6490006,29472948
SRR6714105,37145352
SRR6765262,1989862
SRR7299214,16634768
SRR7610133,5994846
SRR9109404,38762198
SRR9182858,145229898
SRR9182859,162463680
SRR9182862,147480102
SRR975540,4215496
