sample_id,n_match_genomes_fmg,avg_f_match,avg_median_abund,n_unique_weighted
DRR014782,13557,0.019701355395572374,1.8809102308770378,658191
DRR014785,14609,0.020886505657987667,1.8796974467793826,730806
DRR019499,23740,0.0065686349357778895,3.6100884582982307,169107
DRR042462,3328,0.02792687697569992,2.40625,140571
DRR042463,4517,0.02020199881176517,1.8897498339605934,123562
DRR046069,1978,0.01930792782660362,1.2338220424671384,14888
DRR046087,1958,0.022657228483492733,1.6310010214504596,30817
DRR092714,20313,0.0064336104064835475,1.7174469551518732,116478
DRR121397,19375,0.006433442287779814,1.2283870967741934,85955
DRR121401,18383,0.005879920895968984,1.1418430071261492,65996
DRR163685,10407,0.005240406146730508,11.91885269530124,535526
DRR163686,8500,0.004658426850400212,15.958823529411765,570006
DRR163687,25656,0.006824089377729611,4.998947614593078,621139
DRR163688,1404,0.006255773953596093,9.979700854700855,65814
DRR163689,13459,0.004186177469401305,12.32067761349283,253866
DRR163690,12663,0.003932294541584098,12.14838505883282,223514
DRR163691,7617,0.004012719680215415,5.384468951030589,62066
DRR163692,18343,0.004291606787839138,5.392547565828926,184930
DRR163693,11296,0.004430710141840069,10.093174575070822,207017
ERR10695318,14807,0.005825850316966005,6.803268724252043,1732695
ERR10695319,15357,0.0053780433325486465,5.641596666015498,1359381
ERR10695321,17526,0.006067584407357345,5.4194339837955035,1451800
ERR10695324,10859,0.006558237335497961,11.698222672437609,1225179
ERR10736389,8745,0.007256910505973626,8.221898227558604,443696
ERR10736393,9285,0.00716305608622226,6.917824448034464,410512
ERR1190729,3856,0.029394120356772288,2.7177126556016598,376229
ERR1190860,1772,0.020494531075730855,10.352144469525959,456804
ERR1201173,15452,0.005789534072821019,2.5174411079471914,128478
ERR1201180,14614,0.0053165408570331986,2.0615847817161628,77375
ERR1414265,36414,0.00902259279894493,2.252142033283902,333220
ERR1414267,47433,0.011550003992365448,1.2357852128265132,352579
ERR1414271,44006,0.012392106438677105,1.6372540108167069,531626
ERR1467141,13462,0.00888652246926073,1.4360421928391027,71796
ERR1467142,8227,0.009644667312918319,1.4082290020663668,47287
ERR1467143,11232,0.009623727818235782,1.5822649572649572,70560
ERR1467144,9224,0.009701491942171661,1.3905572419774501,53489
ERR1467145,10927,0.010115073609982114,1.4265123089594582,71131
ERR1467146,8076,0.009269793824412178,1.4384596334819217,45080
ERR1467147,11507,0.009935094693246008,1.5153819414269576,77703
ERR1467148,10638,0.009374883138205491,1.3306072570031962,59122
ERR1467149,12021,0.010383364283132742,1.4702187837950254,82415
ERR1467150,9153,0.009966934036149695,1.3775264940456682,53916
ERR1467151,9025,0.009755418030679629,1.3950138504155125,51745
ERR1467152,10617,0.009020780221699401,1.3953565037204483,60768
ERR1467153,7809,0.009438092950654238,1.3294916122422846,42196
ERR1467154,6283,0.009008181415259576,1.3531752347604646,31364
ERR1470822,10915,0.009374006513777665,1.4872194228126432,67810
ERR1470823,11101,0.00901759401015436,1.498063237546167,70350
ERR1470824,9829,0.00914827422992516,1.5440024417539933,60680
ERR1470825,10286,0.009001333362321727,1.5092844643204355,63477
ERR1470826,10902,0.007858072691274472,1.591496973032471,60148
ERR1470827,12125,0.009441777951895965,1.5837938144329897,86693
ERR1470828,10529,0.009218006092606824,1.42401937505936,61995
ERR1470829,9105,0.00925153876244439,1.442064799560681,55603
ERR1470830,12838,0.009591774141327069,1.4710235239133822,89253
ERR1512984,10881,0.007951638635623575,1.4429280397022333,60862
ERR1512985,9498,0.009005558513303303,1.5159507264687302,55781
ERR1512986,10222,0.009090116083630582,1.5587458423009195,57858
ERR1512987,10136,0.009529332962174087,1.4615232833464877,65072
ERR1512988,11990,0.009379103841861457,1.6185988323603002,67851
ERR1512993,7508,0.009680993393768572,1.5554741608950453,47084
ERR1512994,6759,0.009080028075349932,1.5448291167332446,34654
ERR1512997,6266,0.009335845649163357,1.533514203638685,33198
ERR1512998,5923,0.00983822529839008,1.5325004220834038,37803
ERR1513004,11114,0.010066384032868343,1.4968958070901566,70357
ERR1513005,11457,0.009885850642777944,1.4468447237496727,69375
ERR1513006,10637,0.009971214358937221,1.469493278179938,64521
ERR1513007,9661,0.01009583262825415,1.5077114170375738,69909
ERR1514427,10932,0.009612904443622096,1.570023783388218,61709
ERR1514428,11583,0.010021385800174002,1.6155572822239488,72140
ERR1514429,11701,0.010326990266810946,1.64507307067772,84491
ERR1514430,11186,0.010066677209867534,1.6824155193992492,87881
ERR1525434,4154,0.009558765615636542,1.283461723639865,18427
ERR1525436,7046,0.010232221742813196,1.4489781436275901,40629
ERR1525437,4069,0.009589794306902339,1.35991644138609,20710
ERR1525439,9217,0.007996170909791973,1.4781924704350657,42709
ERR1525440,10518,0.008671237887689398,1.5377923559612094,60734
ERR1525443,11666,0.010528832056561877,1.4372964169381108,82127
ERR1525444,7656,0.010942813384514445,1.597048066875653,51680
ERR1525445,11635,0.010003401788070222,1.5259561667382897,74403
ERR1525446,6978,0.010437978291354826,1.5551734021209516,45819
ERR1543776,3395,0.012106365815564261,1.3282768777614138,20875
ERR1543784,3405,0.01445634962286156,1.3883994126284875,22171
